Sector,Description,Sector_sub,name_sub
11,"Agriculture, Forestry, Fishing and Hunting",112100,Cattle Ranching and Farming
11,"Agriculture, Forestry, Fishing and Hunting",112110,"Beef Cattle Ranching and Farming, including Feedlots"
11,"Agriculture, Forestry, Fishing and Hunting",112111,Beef Cattle Ranching and Farming
11,"Agriculture, Forestry, Fishing and Hunting",112112,Cattle Feedlots
11,"Agriculture, Forestry, Fishing and Hunting",112120,Dairy Cattle and Milk Production
11,"Agriculture, Forestry, Fishing and Hunting",112130,Dual-Purpose Cattle Ranching and Farming
11,"Agriculture, Forestry, Fishing and Hunting",112200,Hog and Pig Farming
11,"Agriculture, Forestry, Fishing and Hunting",112210,Hog and Pig Farming
11,"Agriculture, Forestry, Fishing and Hunting",112300,Poultry and Egg Production
11,"Agriculture, Forestry, Fishing and Hunting",112310,Chicken Egg Production
11,"Agriculture, Forestry, Fishing and Hunting",112320,Broilers and Other Meat Type Chicken Production
11,"Agriculture, Forestry, Fishing and Hunting",112330,Turkey Production
11,"Agriculture, Forestry, Fishing and Hunting",112340,Poultry Hatcheries
11,"Agriculture, Forestry, Fishing and Hunting",112390,Other Poultry Production
11,"Agriculture, Forestry, Fishing and Hunting",112400,Sheep and Goat Farming
11,"Agriculture, Forestry, Fishing and Hunting",112410,Sheep Farming
11,"Agriculture, Forestry, Fishing and Hunting",112420,Goat Farming
11,"Agriculture, Forestry, Fishing and Hunting",112500,Animal Aquaculture
11,"Agriculture, Forestry, Fishing and Hunting",112510,Animal Aquaculture
11,"Agriculture, Forestry, Fishing and Hunting",112511,Finfish Farming and Fish Hatcheries
11,"Agriculture, Forestry, Fishing and Hunting",112512,Shellfish Farming
11,"Agriculture, Forestry, Fishing and Hunting",112519,Other Animal Aquaculture
11,"Agriculture, Forestry, Fishing and Hunting",112900,Other Animal Production
11,"Agriculture, Forestry, Fishing and Hunting",112910,Apiculture
11,"Agriculture, Forestry, Fishing and Hunting",112920,Horses and Other Equine Production
11,"Agriculture, Forestry, Fishing and Hunting",112930,Fur-Bearing Animal and Rabbit Production
11,"Agriculture, Forestry, Fishing and Hunting",112990,All Other Animal Production
11,"Agriculture, Forestry, Fishing and Hunting",113000,Forestry and Logging
11,"Agriculture, Forestry, Fishing and Hunting",113100,Timber Tract Operations
11,"Agriculture, Forestry, Fishing and Hunting",113110,Timber Tract Operations
11,"Agriculture, Forestry, Fishing and Hunting",113200,Forest Nurseries and Gathering of Forest Products
11,"Agriculture, Forestry, Fishing and Hunting",113210,Forest Nurseries and Gathering of Forest Products
11,"Agriculture, Forestry, Fishing and Hunting",113300,Logging
11,"Agriculture, Forestry, Fishing and Hunting",113310,Logging
11,"Agriculture, Forestry, Fishing and Hunting",114000,"Fishing, Hunting and Trapping"
11,"Agriculture, Forestry, Fishing and Hunting",114100,Fishing
11,"Agriculture, Forestry, Fishing and Hunting",114110,Fishing
11,"Agriculture, Forestry, Fishing and Hunting",114111,Finfish Fishing
11,"Agriculture, Forestry, Fishing and Hunting",114112,Shellfish Fishing
11,"Agriculture, Forestry, Fishing and Hunting",114119,Other Marine Fishing
11,"Agriculture, Forestry, Fishing and Hunting",114200,Hunting and Trapping
11,"Agriculture, Forestry, Fishing and Hunting",114210,Hunting and Trapping
11,"Agriculture, Forestry, Fishing and Hunting",115000,Support Activities for Agriculture and Forestry
11,"Agriculture, Forestry, Fishing and Hunting",115100,Support Activities for Crop Production
11,"Agriculture, Forestry, Fishing and Hunting",115110,Support Activities for Crop Production
11,"Agriculture, Forestry, Fishing and Hunting",115111,Cotton Ginning
11,"Agriculture, Forestry, Fishing and Hunting",115112,"Soil Preparation, Planting, and Cultivating"
11,"Agriculture, Forestry, Fishing and Hunting",115113,"Crop Harvesting, Primarily by Machine"
11,"Agriculture, Forestry, Fishing and Hunting",115114,Postharvest Crop Activities (except Cotton Ginning)
11,"Agriculture, Forestry, Fishing and Hunting",115115,Farm Labor Contractors and Crew Leaders
11,"Agriculture, Forestry, Fishing and Hunting",115116,Farm Management Services
11,"Agriculture, Forestry, Fishing and Hunting",115200,Support Activities for Animal Production
11,"Agriculture, Forestry, Fishing and Hunting",115210,Support Activities for Animal Production
11,"Agriculture, Forestry, Fishing and Hunting",115300,Support Activities for Forestry
11,"Agriculture, Forestry, Fishing and Hunting",115310,Support Activities for Forestry
21,Mining,210000,Mining
21,Mining,211000,Oil and Gas Extraction
21,Mining,211100,Oil and Gas Extraction
21,Mining,211110,Oil and Gas Extraction
21,Mining,211111,Crude Petroleum and Natural Gas Extraction
21,Mining,211112,Natural Gas Liquid Extraction
21,Mining,212000,Mining (except Oil and Gas)
21,Mining,212100,Coal Mining
21,Mining,212110,Coal Mining
21,Mining,212111,Bituminous Coal and Lignite Surface Mining
21,Mining,212112,Bituminous Coal Underground Mining
21,Mining,212113,Anthracite Mining
21,Mining,212200,Metal Ore Mining
21,Mining,212210,Iron Ore Mining
21,Mining,212220,Gold Ore and Silver Ore Mining
21,Mining,212221,Gold Ore Mining
21,Mining,212222,Silver Ore Mining
21,Mining,212230,"Copper, Nickel, Lead, and Zinc Mining"
21,Mining,212231,Lead Ore and Zinc Ore Mining
21,Mining,212234,Copper Ore and Nickel Ore Mining
21,Mining,212290,Other Metal Ore Mining
21,Mining,212291,Uranium-Radium-Vanadium Ore Mining
21,Mining,212299,All Other Metal Ore Mining
21,Mining,212300,Nonmetallic Mineral Mining and Quarrying
21,Mining,212310,Stone Mining and Quarrying
21,Mining,212311,Dimension Stone Mining and Quarrying
21,Mining,212312,Crushed and Broken Limestone Mining and Quarrying
21,Mining,212313,Crushed and Broken Granite Mining and Quarrying
21,Mining,212319,Other Crushed and Broken Stone Mining and Quarrying
21,Mining,212320,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
21,Mining,212321,Construction Sand and Gravel Mining
21,Mining,212322,Industrial Sand Mining
21,Mining,212324,Kaolin and Ball Clay Mining
21,Mining,212325,Clay and Ceramic and Refractory Minerals Mining
21,Mining,212390,Other Nonmetallic Mineral Mining and Quarrying
21,Mining,212391,"Potash, Soda, and Borate Mineral Mining"
21,Mining,212392,Phosphate Rock Mining
21,Mining,212393,Other Chemical and Fertilizer Mineral Mining
21,Mining,212399,All Other Nonmetallic Mineral Mining
21,Mining,213000,Support Activities for Mining
21,Mining,213100,Support Activities for Mining
21,Mining,213110,Support Activities for Mining
21,Mining,213111,Drilling Oil and Gas Wells
21,Mining,213112,Support Activities for Oil and Gas Operations
21,Mining,213113,Support Activities for Coal Mining
21,Mining,213114,Support Activities for Metal Mining
21,Mining,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
22,Utilities,220000,Utilities
22,Utilities,221000,Utilities
22,Utilities,221100,"Electric Power Generation, Transmission and Distribution"
22,Utilities,221110,Electric Power Generation
22,Utilities,221111,Hydroelectric Power Generation
22,Utilities,221112,Fossil Fuel Electric Power Generation
22,Utilities,221113,Nuclear Electric Power Generation
22,Utilities,221119,Other Electric Power Generation
22,Utilities,221120,"Electric Power Transmission, Control, and Distribution"
22,Utilities,221121,Electric Bulk Power Transmission and Control
22,Utilities,221122,Electric Power Distribution
22,Utilities,221200,Natural Gas Distribution
22,Utilities,221210,Natural Gas Distribution
22,Utilities,221300,"Water, Sewage and Other Systems"
22,Utilities,221310,Water Supply and Irrigation Systems
22,Utilities,221320,Sewage Treatment Facilities
22,Utilities,221330,Steam and Air-Conditioning Supply
23,Construction,230000,Construction
23,Construction,236000,Construction of Buildings
23,Construction,236100,Residential Building Construction
23,Construction,236110,Residential Building Construction
23,Construction,236115,New Single-Family Housing Construction (except Operative Builders)
23,Construction,236116,New Multifamily Housing Construction (except Operative Builders)
23,Construction,236117,New Housing Operative Builders
23,Construction,236118,Residential Remodelers
23,Construction,236200,Nonresidential Building Construction
23,Construction,236210,Industrial Building Construction
23,Construction,236220,Commercial and Institutional Building Construction
23,Construction,237000,Heavy and Civil Engineering Construction
23,Construction,237100,Utility System Construction
23,Construction,237110,Water and Sewer Line and Related Structures Construction
23,Construction,237120,Oil and Gas Pipeline and Related Structures Construction
23,Construction,237130,Power and Communication Line and Related Structures Construction
23,Construction,237200,Land Subdivision
23,Construction,237210,Land Subdivision
23,Construction,237300,"Highway, Street, and Bridge Construction"
23,Construction,237310,"Highway, Street, and Bridge Construction"
23,Construction,237900,Other Heavy and Civil Engineering Construction
23,Construction,237990,Other Heavy and Civil Engineering Construction
23,Construction,238000,Specialty Trade Contractors
23,Construction,238100,"Foundation, Structure, and Building Exterior Contractors"
23,Construction,238110,Poured Concrete Foundation and Structure Contractors
23,Construction,238120,Structural Steel and Precast Concrete Contractors
23,Construction,238130,Framing Contractors
23,Construction,238140,Masonry Contractors
23,Construction,238150,Glass and Glazing Contractors
23,Construction,238160,Roofing Contractors
23,Construction,238170,Siding Contractors
23,Construction,238190,"Other Foundation, Structure, and Building Exterior Contractors"
23,Construction,238200,Building Equipment Contractors
23,Construction,238210,Electrical Contractors
23,Construction,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
23,Construction,238290,Other Building Equipment Contractors
23,Construction,238300,Building Finishing Contractors
23,Construction,238310,Drywall and Insulation Contractors
23,Construction,238320,Painting and Wall Covering Contractors
23,Construction,238330,Flooring Contractors
23,Construction,238340,Tile and Terrazzo Contractors
23,Construction,238350,Finish Carpentry Contractors
23,Construction,238390,Other Building Finishing Contractors
23,Construction,238900,Other Specialty Trade Contractors
23,Construction,238910,Site Preparation Contractors
23,Construction,238990,All Other Specialty Trade Contractors
31,Manufacturing,310000,""
31,Manufacturing,311000,Food Manufacturing
31,Manufacturing,311100,Animal Food Manufacturing
31,Manufacturing,311110,Animal Food Manufacturing
31,Manufacturing,311111,Dog and Cat Food Manufacturing
31,Manufacturing,311119,Other Animal Food Manufacturing
31,Manufacturing,311200,Grain and Oilseed Milling
31,Manufacturing,311210,Flour Milling and Malt Manufacturing
31,Manufacturing,311211,Flour Milling
31,Manufacturing,311212,Rice Milling
31,Manufacturing,311213,Malt Manufacturing
31,Manufacturing,311220,Starch and Vegetable Fats and Oils Manufacturing
31,Manufacturing,311221,Wet Corn Milling
31,Manufacturing,311222,Soybean Processing
31,Manufacturing,311223,Other Oilseed Processing
31,Manufacturing,311225,Fats and Oils Refining and Blending
31,Manufacturing,311230,Breakfast Cereal Manufacturing
31,Manufacturing,311300,Sugar and Confectionery Product Manufacturing
31,Manufacturing,311310,Sugar Manufacturing
31,Manufacturing,311311,Sugarcane Mills
31,Manufacturing,311312,Cane Sugar Refining
31,Manufacturing,311313,Beet Sugar Manufacturing
31,Manufacturing,311320,Chocolate and Confectionery Manufacturing from Cacao Beans
31,Manufacturing,311330,Confectionery Manufacturing from Purchased Chocolate
31,Manufacturing,311340,Nonchocolate Confectionery Manufacturing
31,Manufacturing,311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing
31,Manufacturing,311410,Frozen Food Manufacturing
31,Manufacturing,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
31,Manufacturing,311412,Frozen Specialty Food Manufacturing
31,Manufacturing,311420,"Fruit and Vegetable Canning, Pickling, and Drying"
31,Manufacturing,311421,Fruit and Vegetable Canning
31,Manufacturing,311422,Specialty Canning
31,Manufacturing,311423,Dried and Dehydrated Food Manufacturing
31,Manufacturing,311500,Dairy Product Manufacturing
31,Manufacturing,311510,Dairy Product (except Frozen) Manufacturing
31,Manufacturing,311511,Fluid Milk Manufacturing
31,Manufacturing,311512,Creamery Butter Manufacturing
31,Manufacturing,311513,Cheese Manufacturing
31,Manufacturing,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
31,Manufacturing,311520,Ice Cream and Frozen Dessert Manufacturing
31,Manufacturing,311600,Animal Slaughtering and Processing
31,Manufacturing,311610,Animal Slaughtering and Processing
31,Manufacturing,311611,Animal (except Poultry) Slaughtering
31,Manufacturing,311612,Meat Processed from Carcasses
31,Manufacturing,311613,Rendering and Meat Byproduct Processing
31,Manufacturing,311615,Poultry Processing
31,Manufacturing,311700,Seafood Product Preparation and Packaging
31,Manufacturing,311710,Seafood Product Preparation and Packaging
31,Manufacturing,311711,Seafood Canning
31,Manufacturing,311712,Fresh and Frozen Seafood Processing
31,Manufacturing,311800,Bakeries and Tortilla Manufacturing
31,Manufacturing,311810,Bread and Bakery Product Manufacturing
31,Manufacturing,311811,Retail Bakeries
31,Manufacturing,311812,Commercial Bakeries
31,Manufacturing,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
31,Manufacturing,311820,"Cookie, Cracker, and Pasta Manufacturing"
31,Manufacturing,311821,Cookie and Cracker Manufacturing
31,Manufacturing,311822,Flour Mixes and Dough Manufacturing from Purchased Flour
31,Manufacturing,311823,Dry Pasta Manufacturing
31,Manufacturing,311830,Tortilla Manufacturing
31,Manufacturing,311900,Other Food Manufacturing
31,Manufacturing,311910,Snack Food Manufacturing
31,Manufacturing,311911,Roasted Nuts and Peanut Butter Manufacturing
31,Manufacturing,311919,Other Snack Food Manufacturing
31,Manufacturing,311920,Coffee and Tea Manufacturing
31,Manufacturing,311930,Flavoring Syrup and Concentrate Manufacturing
31,Manufacturing,311940,Seasoning and Dressing Manufacturing
31,Manufacturing,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
31,Manufacturing,311942,Spice and Extract Manufacturing
31,Manufacturing,311990,All Other Food Manufacturing
31,Manufacturing,311991,Perishable Prepared Food Manufacturing
31,Manufacturing,311999,All Other Miscellaneous Food Manufacturing
31,Manufacturing,312000,Beverage and Tobacco Product Manufacturing
31,Manufacturing,312100,Beverage Manufacturing
31,Manufacturing,312110,Soft Drink and Ice Manufacturing
31,Manufacturing,312111,Soft Drink Manufacturing
31,Manufacturing,312112,Bottled Water Manufacturing
31,Manufacturing,312113,Ice Manufacturing
31,Manufacturing,312120,Breweries
31,Manufacturing,312130,Wineries
31,Manufacturing,312140,Distilleries
31,Manufacturing,312200,Tobacco Manufacturing
31,Manufacturing,312210,Tobacco Stemming and Redrying
31,Manufacturing,312220,Tobacco Product Manufacturing
31,Manufacturing,312221,Cigarette Manufacturing
31,Manufacturing,312229,Other Tobacco Product Manufacturing
31,Manufacturing,313000,Textile Mills
31,Manufacturing,313100,"Fiber, Yarn, and Thread Mills"
31,Manufacturing,313110,"Fiber, Yarn, and Thread Mills"
31,Manufacturing,313111,Yarn Spinning Mills
31,Manufacturing,313112,"Yarn Texturizing, Throwing, and Twisting Mills"
31,Manufacturing,313113,Thread Mills
31,Manufacturing,313200,Fabric Mills
31,Manufacturing,313210,Broadwoven Fabric Mills
31,Manufacturing,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
31,Manufacturing,313221,Narrow Fabric Mills
31,Manufacturing,313222,Schiffli Machine Embroidery
31,Manufacturing,313230,Nonwoven Fabric Mills
31,Manufacturing,313240,Knit Fabric Mills
31,Manufacturing,313241,Weft Knit Fabric Mills
31,Manufacturing,313249,Other Knit Fabric and Lace Mills
31,Manufacturing,313300,Textile and Fabric Finishing and Fabric Coating Mills
31,Manufacturing,313310,Textile and Fabric Finishing Mills
31,Manufacturing,313311,Broadwoven Fabric Finishing Mills
31,Manufacturing,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
31,Manufacturing,313320,Fabric Coating Mills
31,Manufacturing,314000,Textile Product Mills
31,Manufacturing,314100,Textile Furnishings Mills
31,Manufacturing,314110,Carpet and Rug Mills
31,Manufacturing,314120,Curtain and Linen Mills
31,Manufacturing,314121,Curtain and Drapery Mills
31,Manufacturing,314129,Other Household Textile Product Mills
31,Manufacturing,314900,Other Textile Product Mills
31,Manufacturing,314910,Textile Bag and Canvas Mills
31,Manufacturing,314911,Textile Bag Mills
31,Manufacturing,314912,Canvas and Related Product Mills
31,Manufacturing,314990,All Other Textile Product Mills
31,Manufacturing,314991,"Rope, Cordage, and Twine Mills"
31,Manufacturing,314992,Tire Cord and Tire Fabric Mills
31,Manufacturing,314999,All Other Miscellaneous Textile Product Mills
31,Manufacturing,315000,Apparel Manufacturing
31,Manufacturing,315100,Apparel Knitting Mills
31,Manufacturing,315110,Hosiery and Sock Mills
31,Manufacturing,315111,Sheer Hosiery Mills
31,Manufacturing,315119,Other Hosiery and Sock Mills
31,Manufacturing,315190,Other Apparel Knitting Mills
31,Manufacturing,315191,Outerwear Knitting Mills
31,Manufacturing,315192,Underwear and Nightwear Knitting Mills
31,Manufacturing,315200,Cut and Sew Apparel Manufacturing
31,Manufacturing,315210,Cut and Sew Apparel Contractors
31,Manufacturing,315211,Men's and Boys' Cut and Sew Apparel Contractors
31,Manufacturing,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors"
31,Manufacturing,315220,Men's and Boys' Cut and Sew Apparel Manufacturing
31,Manufacturing,315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing
31,Manufacturing,315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing"
31,Manufacturing,315223,Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing
31,Manufacturing,315224,"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing"
31,Manufacturing,315225,Men's and Boys' Cut and Sew Work Clothing Manufacturing
31,Manufacturing,315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing
31,Manufacturing,315230,Women's and Girls' Cut and Sew Apparel Manufacturing
31,Manufacturing,315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing"
31,Manufacturing,315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing
31,Manufacturing,315233,Women's and Girls' Cut and Sew Dress Manufacturing
31,Manufacturing,315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing"
31,Manufacturing,315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing
31,Manufacturing,315290,Other Cut and Sew Apparel Manufacturing
31,Manufacturing,315291,Infants' Cut and Sew Apparel Manufacturing
31,Manufacturing,315292,Fur and Leather Apparel Manufacturing
31,Manufacturing,315299,All Other Cut and Sew Apparel Manufacturing
31,Manufacturing,315900,Apparel Accessories and Other Apparel Manufacturing
31,Manufacturing,315990,Apparel Accessories and Other Apparel Manufacturing
31,Manufacturing,315991,"Hat, Cap, and Millinery Manufacturing"
31,Manufacturing,315992,Glove and Mitten Manufacturing
31,Manufacturing,315993,Men's and Boys' Neckwear Manufacturing
31,Manufacturing,315999,Other Apparel Accessories and Other Apparel Manufacturing
31,Manufacturing,316000,Leather and Allied Product Manufacturing
31,Manufacturing,316100,Leather and Hide Tanning and Finishing
31,Manufacturing,316110,Leather and Hide Tanning and Finishing
31,Manufacturing,316200,Footwear Manufacturing
31,Manufacturing,316210,Footwear Manufacturing
31,Manufacturing,316211,Rubber and Plastics Footwear Manufacturing
31,Manufacturing,316212,House Slipper Manufacturing
31,Manufacturing,316213,Men's Footwear (except Athletic) Manufacturing
31,Manufacturing,316214,Women's Footwear (except Athletic) Manufacturing
31,Manufacturing,316219,Other Footwear Manufacturing
31,Manufacturing,316900,Other Leather and Allied Product Manufacturing
31,Manufacturing,316990,Other Leather and Allied Product Manufacturing
31,Manufacturing,316991,Luggage Manufacturing
31,Manufacturing,316992,Women's Handbag and Purse Manufacturing
31,Manufacturing,316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing
31,Manufacturing,316999,All Other Leather Good Manufacturing
42,Wholesale Trade,420000,Wholesale Trade
42,Wholesale Trade,423000,"Merchant Wholesalers, Durable Goods"
42,Wholesale Trade,423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
42,Wholesale Trade,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
42,Wholesale Trade,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
42,Wholesale Trade,423130,Tire and Tube Merchant Wholesalers
42,Wholesale Trade,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
42,Wholesale Trade,423200,Furniture and Home Furnishing Merchant Wholesalers
42,Wholesale Trade,423210,Furniture Merchant Wholesalers
42,Wholesale Trade,423220,Home Furnishing Merchant Wholesalers
42,Wholesale Trade,423300,Lumber and Other Construction Materials Merchant Wholesalers
42,Wholesale Trade,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
42,Wholesale Trade,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
42,Wholesale Trade,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
42,Wholesale Trade,423390,Other Construction Material Merchant Wholesalers
42,Wholesale Trade,423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,423410,Photographic Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,423420,Office Equipment Merchant Wholesalers
42,Wholesale Trade,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
42,Wholesale Trade,423440,Other Commercial Equipment Merchant Wholesalers
42,Wholesale Trade,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
42,Wholesale Trade,423460,Ophthalmic Goods Merchant Wholesalers
42,Wholesale Trade,423490,Other Professional Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,423500,Metal and Mineral (except Petroleum) Merchant Wholesalers
42,Wholesale Trade,423510,Metal Service Centers and Other Metal Merchant Wholesalers
42,Wholesale Trade,423520,Coal and Other Mineral and Ore Merchant Wholesalers
42,Wholesale Trade,423600,Electrical and Electronic Goods Merchant Wholesalers
42,Wholesale Trade,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
42,Wholesale Trade,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers"
42,Wholesale Trade,423690,Other Electronic Parts and Equipment Merchant Wholesalers
42,Wholesale Trade,423700,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
42,Wholesale Trade,423710,Hardware Merchant Wholesalers
42,Wholesale Trade,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
42,Wholesale Trade,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,423740,Refrigeration Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,423800,"Machinery, Equipment, and Supplies Merchant Wholesalers"
42,Wholesale Trade,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
42,Wholesale Trade,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
42,Wholesale Trade,423830,Industrial Machinery and Equipment Merchant Wholesalers
42,Wholesale Trade,423840,Industrial Supplies Merchant Wholesalers
42,Wholesale Trade,423850,Service Establishment Equipment and Supplies Merchant Wholesalers
42,Wholesale Trade,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
42,Wholesale Trade,423900,Miscellaneous Durable Goods Merchant Wholesalers
42,Wholesale Trade,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
42,Wholesale Trade,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
42,Wholesale Trade,423930,Recyclable Material Merchant Wholesalers
42,Wholesale Trade,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
42,Wholesale Trade,423990,Other Miscellaneous Durable Goods Merchant Wholesalers
42,Wholesale Trade,424000,"Merchant Wholesalers, Nondurable Goods"
42,Wholesale Trade,424100,Paper and Paper Product Merchant Wholesalers
42,Wholesale Trade,424110,Printing and Writing Paper Merchant Wholesalers
42,Wholesale Trade,424120,Stationery and Office Supplies Merchant Wholesalers
42,Wholesale Trade,424130,Industrial and Personal Service Paper Merchant Wholesalers
42,Wholesale Trade,424200,Drugs and Druggists' Sundries Merchant Wholesalers
42,Wholesale Trade,424210,Drugs and Druggists' Sundries Merchant Wholesalers
42,Wholesale Trade,424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers"
42,Wholesale Trade,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
42,Wholesale Trade,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
42,Wholesale Trade,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
42,Wholesale Trade,424340,Footwear Merchant Wholesalers
42,Wholesale Trade,424400,Grocery and Related Product Merchant Wholesalers
42,Wholesale Trade,424410,General Line Grocery Merchant Wholesalers
42,Wholesale Trade,424420,Packaged Frozen Food Merchant Wholesalers
